Time,Neck joint Bend Front/Back,Neck joint Twist Left/Right,Neck joint Lean Right/Left,Lumbar joint Bend Front/Back,Lumbar joint Twist Left/Right,Lumbar joint Lean Right/Left,Right shoulder Flex/Ext,Right shoulder Abd/Add,Right shoulder Int/Ext,Right elbow Flex/Ext,Right elbow Val/Var,Right elbow Int/Ext,Right wrist Abd/Add,Right wrist Flex/Ext,Right wrist Int/Ext,Right hip Flex/Ext,Right hip Abd/Add,Right hip Int/Ext,Right knee Flex/Ext,Right knee Varus/Valgus,Right knee Int/Ext,Right ankle Plantar/Dorsi,Right ankle Int/Ext,Right ankle Sup/Pro,Left shoulder Flex/Ext,Left shoulder Abd/Add,Left shoulder Int/Ext,Left elbow Flex/Ext,Left elbow Val/Var,Left elbow Int/Ext,Left wrist Abd/Add,Left wrist Flex/Ext,Left wrist Int/Ext,Left hip Flex/Ext,Left hip Abd/Add,Left hip Int/Ext,Left knee Flex/Ext,Left knee Varus/Valgus,Left knee Int/Ext,Left ankle Plantar/Dorsi,Left ankle Int/Ext,Left ankle Sup/Pro,
1.2,19.5964,-3.4848,-5.0636,8.4483,-1.7512,0.55027,7.1476,15.3838,-99.4835,4.952,158.0663,-97.6878,-7.9514e-16,53.9726,-90,-6.4605e-15,-135.4441,0,9.9392e-17,0,0,-4.9696e-16,175.6663,0,7.3641,0.28199,89.8556,1.2208,-118.3167,100.1624,-2.4848e-16,0,0,-6.4605e-15,135.4441,0,9.9392e-17,0,0,-5.9635e-16,-176.4237,0,
1.3,19.6404,-3.4981,-5.0387,8.4511,-1.7542,0.55478,7.151,15.3932,-99.459,4.9437,158.0824,-97.6752,-1.2722e-14,0,-90,0,90,0,0,90,0,4.9696e-16,-85.9073,0,7.3719,0.39827,89.8665,1.2118,-118.2776,100.1804,-4.9696e-17,0,0,0,-90,0,0,-90,0,-1.9878e-16,108.6844,0,
1.4,19.7214,-3.4877,-5.0615,8.4732,-1.7796,0.56342,7.1512,15.6045,-99.4529,4.9318,157.9281,-97.6827,-7.9514e-16,26.5651,-90,0,-90,0,-3.1806e-15,180,0,8.9453e-16,-65.6079,0,7.3747,0.38836,89.9146,1.207,-118.1515,100.1736,0,0,0,0,180,0,-3.1806e-15,178.2101,0,0,-90,0,
1.5,19.7382,-3.56,-4.9922,8.5246,-1.7579,0.55415,7.178,15.6276,-99.4404,4.9212,157.6876,-97.6919,1.2722e-14,-175.978,-90,0,-90,0,0,90,0,-1.3915e-15,-98.4085,0,7.4335,0.6376,90.0615,1.2349,-118.3543,100.1655,9.9392e-17,-104.0362,0,0,90,0,0,-90,0,-1.5903e-15,104.3105,0,
1.6,19.9491,-3.6946,-4.9076,8.5046,-1.7004,0.51535,7.1436,15.763,-99.4331,4.9005,156.9535,-97.7734,-7.9514e-16,0,-90,0,90,0,9.9392e-17,88.1817,0,1.9878e-15,28.1972,0,7.4587,0.92564,90.1274,1.1891,-117.8639,100.1543,1.4909e-16,-180,0,0,90,0,9.9392e-17,-88.1817,0,1.7891e-15,-30.764,0,
1.7,19.9738,-3.7213,-4.8876,8.4752,-1.6785,0.5108,7.1351,16.2007,-99.4068,4.8854,157.0643,-97.8077,0,90,-90,9.9392e-17,-89.1048,0,9.9392e-17,-88.1817,0,-1.2921e-15,114.6627,0,7.4308,1.2947,90.3218,1.2198,-118.3378,100.1637,0,0,0,9.9392e-17,89.1048,0,9.9392e-17,88.1817,0,-1.4909e-15,-117.9245,0,
1.8,20.069,-3.8379,-4.7962,8.4344,-1.6984,0.49654,7.1296,16.5484,-99.3671,4.8943,156.9481,-97.8072,-7.9514e-16,0,-90,-9.9392e-17,-135,0,9.9392e-17,45,0,1.0933e-15,18.7153,0,7.435,1.6804,90.4212,1.2109,-118.2781,100.1868,0,-90,0,-9.9392e-17,135,0,9.9392e-17,-45,0,1.4909e-15,-14.0222,0,
1.9,20.1443,-3.9115,-4.7915,8.3922,-1.7521,0.46554,7.1348,16.6482,-99.3642,4.8689,156.4434,-97.8175,0,0,-90,-6.2617e-15,134.326,0,-9.9392e-17,-153.4349,0,-2.9818e-16,93.3864,0,7.4137,2.0525,90.5225,1.1709,-117.8982,100.2199,-9.9392e-17,75.9638,0,-6.2617e-15,-134.326,0,-9.9392e-17,153.4349,0,1.9878e-16,-88.615,0,
2,20.0554,-3.9578,-4.8111,8.3255,-1.8095,0.42682,7.1222,16.9715,-99.3505,4.8597,156.0796,-97.8401,-7.9514e-16,-36.8699,-90,-6.3611e-15,179.5524,0,-3.2799e-15,-178.2643,0,1.3915e-15,59.5763,0,7.3567,2.3313,90.5865,1.1737,-117.8123,100.2048,0,-90,0,-6.3611e-15,-179.5524,0,-3.1806e-15,-180,0,1.3915e-15,-75.9251,0,
2.1,20.0246,-3.9964,-4.8007,8.2915,-1.8266,0.35955,7.1028,17.3882,-99.337,4.8543,155.8582,-97.8779,0,90,-90,-6.1623e-15,-134.3152,0,-9.9392e-17,-91.7624,0,-1.2921e-15,-103.5803,0,7.3222,2.4743,90.7149,1.1863,-118.4369,100.2467,0,90,0,-6.1623e-15,134.3152,0,-9.9392e-17,91.7624,0,-1.7891e-15,108.4848,0,
