right_shoulder torque_torque
Time - s,Torque magnitude[Nm],Torque1 [Nm],Axis1x,Axis1y,Axis1z,Torque2 [Nm],Axis2x,Axis2y,Axis2z,Torque3 [Nm],Axis3x,Axis3y,Axis3z,
0,0.47202,0.44448,-0.77006,0.6379,0.0090095,-0.15855,0.63717,0.76973,-0.039237,0.010234,-0.031964,-0.024474,-0.99919
0.1,0.44813,0.43345,-0.7702,0.63773,0.010022,-0.11331,0.63697,0.76989,-0.039114,0.0098595,-0.03266,-0.023742,-0.99918
0.2,0.49312,0.48677,-0.77022,0.6377,0.010628,-0.078094,0.63692,0.76993,-0.039168,0.010892,-0.03316,-0.023399,-0.99918
0.3,0.46638,0.42953,-0.77004,0.63791,0.010571,-0.1814,0.63713,0.76975,-0.039339,0.010109,-0.033231,-0.023557,-0.99917
0.4,0.42202,0.40759,-0.76996,0.638,0.010736,-0.10906,0.63722,0.76969,-0.039038,0.0088398,-0.03317,-0.023217,-0.99918
0.5,0.44396,0.40708,-0.7698,0.6382,0.010343,-0.17691,0.63746,0.76953,-0.038257,0.0094967,-0.032375,-0.022857,-0.99921
0.6,0.44547,0.43258,-0.76992,0.63807,0.010117,-0.10594,0.63736,0.76966,-0.037384,0.0097431,-0.03164,-0.022335,-0.99925
0.7,0.48319,0.45389,-0.77023,0.63769,0.010014,-0.16537,0.63701,0.76998,-0.036691,0.010727,-0.031108,-0.021881,-0.99928
0.8,0.40681,0.37815,-0.77064,0.63718,0.010524,-0.14973,0.6365,0.77042,-0.036426,0.0086863,-0.031318,-0.021373,-0.99928
0.9,0.43281,0.41928,-0.77103,0.6367,0.01106,-0.10698,0.636,0.77083,-0.036363,0.0091987,-0.031677,-0.021003,-0.99928
1,0.40458,0.37323,-0.7714,0.63625,0.011459,-0.15593,0.63557,0.77122,-0.035646,0.0086599,-0.031517,-0.020214,-0.9993
1.1,0.3953,0.38704,-0.77187,0.63566,0.012363,-0.079915,0.63499,0.77174,-0.03472,0.0084905,-0.031611,-0.018949,-0.99932
1.2,0.43641,0.4109,-0.77208,0.63539,0.012698,-0.14672,0.63474,0.77197,-0.034084,0.0097318,-0.031459,-0.018255,-0.99934
1.3,0.39805,0.39349,-0.77213,0.63533,0.013092,-0.059487,0.63466,0.77203,-0.034126,0.0085793,-0.031789,-0.018041,-0.99933
1.4,0.3936,0.36327,-0.77195,0.63555,0.013302,-0.15127,0.63487,0.77185,-0.034516,0.0082601,-0.032204,-0.018199,-0.99932
1.5,0.35161,0.34986,-0.77223,0.63519,0.013782,-0.034179,0.63449,0.77214,-0.034797,0.0074955,-0.032745,-0.018127,-0.9993
1.6,0.48822,0.47411,-0.77262,0.63473,0.013605,-0.11601,0.63401,0.77251,-0.035406,0.01096,-0.032983,-0.018729,-0.99928
1.7,0.38441,0.36443,-0.77274,0.63459,0.012981,-0.12205,0.63387,0.77259,-0.036258,0.0082331,-0.033038,-0.019789,-0.99926
1.8,0.38103,0.37558,-0.77287,0.63445,0.012199,-0.063756,0.6337,0.77268,-0.037384,0.0078875,-0.033144,-0.021162,-0.99923
1.9,0.46771,0.44809,-0.77271,0.63467,0.010892,-0.13365,0.63392,0.77245,-0.038212,0.010342,-0.032665,-0.022622,-0.99921
2,0.46017,0.43979,-0.77221,0.6353,0.0096947,-0.13505,0.63453,0.77188,-0.039607,0.010102,-0.032646,-0.024433,-0.99917
2.1,0.49089,0.46324,-0.77176,0.63586,0.0087433,-0.16208,0.63505,0.77135,-0.041575,0.010412,-0.03318,-0.026533,-0.9991
2.2,0.50475,0.46585,-0.7717,0.63592,0.0089195,-0.19403,0.63505,0.77125,-0.043378,0.010813,-0.034464,-0.027811,-0.99902
2.3,0.51271,0.49585,-0.7717,0.63591,0.0098737,-0.12997,0.63496,0.77124,-0.044793,0.010653,-0.036099,-0.028297,-0.99895
2.4,0.45273,0.44174,-0.7714,0.63625,0.011009,-0.098727,0.63527,0.77099,-0.044918,0.0091748,-0.037067,-0.027657,-0.99893
2.5,0.51848,0.51224,-0.77106,0.63664,0.012657,-0.079437,0.63565,0.77073,-0.043892,0.011165,-0.037699,-0.025798,-0.99896
2.6,0.50995,0.503,-0.77054,0.63723,0.014313,-0.083189,0.63626,0.77031,-0.042414,0.011037,-0.038054,-0.023575,-0.999
2.7,0.4613,0.45074,-0.77001,0.63784,0.015657,-0.097669,0.63687,0.76986,-0.041315,0.009904,-0.038406,-0.021842,-0.99902
2.8,0.43247,0.4272,-0.76951,0.63841,0.016638,-0.066705,0.63746,0.76942,-0.040392,0.008984,-0.038588,-0.020476,-0.99905
2.9,0.39261,0.3909,-0.76897,0.63906,0.016889,-0.035639,0.63816,0.76891,-0.039156,0.0082621,-0.038009,-0.019332,-0.99909
3,0.44967,0.4493,-0.7685,0.63962,0.017108,0.015731,0.63875,0.76847,-0.038152,0.0093577,-0.03755,-0.018393,-0.99913
3.1,0.41565,0.41501,-0.76813,0.64006,0.017244,-0.021335,0.6392,0.76812,-0.037632,0.0087542,-0.037332,-0.017884,-0.99914
3.2,0.4391,0.41789,-0.76834,0.63978,0.01818,-0.13449,0.63892,0.76836,-0.03744,0.0093849,-0.037922,-0.017151,-0.99913
3.3,0.37668,0.37661,-0.76886,0.63912,0.01955,-0.0012592,0.63823,0.76893,-0.037551,0.0076058,-0.039032,-0.016395,-0.9991
3.4,0.42796,0.42784,-0.7696,0.6382,0.020574,-0.0048636,0.63729,0.76971,-0.037454,0.0089872,-0.039739,-0.015713,-0.99909
